depth,latitude,longitude,time,siage,sisnthick,sithick,so,thetao,atmospheric_temperature
0.0,82.5,76.56000000004008,2022-12-23,486.1429,0.26321846,1.2806572,33.842308,-1.8037052,-23.81875
0.0,82.5625,77.12000000004019,2022-12-22,469.62814,0.26262882,1.2970904,33.8486,-1.7957562,-19.606249
0.0,82.5,77.52000000004023,2022-12-21,467.73077,0.25721532,1.2936801,33.83093,-1.8113136,-18.0375
0.0,82.4375,77.92000000004032,2022-12-20,474.25082,0.2556111,1.2921674,33.79541,-1.81527,-17.877083
0.0,82.3125,78.80000000004043,2022-12-19,477.64337,0.2580944,1.2867953,33.767986,-1.7864243,-13.195834
0.0,82.125,79.92000000004066,2022-12-18,477.4469,0.2577462,1.1376563,33.749485,-1.701509,-15.360415
0.0,82.0,80.88000000004081,2022-12-17,474.04898,0.2531604,1.1445525,33.877644,-1.676918,-17.29167
0.0,81.9375,81.6000000000409,2022-12-16,468.62265,0.24593237,1.1447515,33.867416,-1.7475421,-20.835417
0.0,82.0,82.40000000004102,2022-12-15,457.0182,0.24539337,1.1477933,33.854633,-1.7495126,-24.766665
0.0,82.0625,83.12000000004116,2022-12-14,451.5509,0.24560238,1.1533668,33.849777,-1.7273035,-24.085419
0.0,82.0625,83.5200000000412,2022-12-13,452.86594,0.24314941,1.1540724,33.85465,-1.7468394,-24.633331
0.0,82.125,83.36000000004117,2022-12-12,457.4766,0.2410428,1.1611049,33.79263,-1.7282395,-26.460413
0.0,82.1875,83.04000000004112,2022-12-11,459.5556,0.23980732,1.0771122,33.72838,-1.7083052,-22.258333
0.0,82.25,82.8800000000411,2022-12-10,461.7165,0.23839965,1.0787468,33.684105,-1.7310563,-21.20625
0.0,82.25,82.96000000004108,2022-12-09,461.41068,0.2373442,1.0683366,33.69318,-1.7124162,-22.041666
0.0,82.3125,83.44000000004121,2022-12-08,456.64386,0.23805079,1.0676445,33.706364,-1.7384357,-21.481249
0.0,82.375,84.08000000004131,2022-12-07,453.88507,0.23824406,1.0693003,33.706326,-1.775347,-20.145836
0.0,82.4375,84.40000000004136,2022-12-06,454.8241,0.23648274,1.0713946,33.668247,-1.7977681,-18.422916
0.0,82.5,84.40000000004136,2022-12-05,460.93732,0.23399064,1.0712183,33.611534,-1.8048309,-22.204165
0.0,82.5625,84.08000000004131,2022-12-04,467.4434,0.233416,1.0421408,33.431797,-1.801045,-18.929169
0.0,82.6875,83.68000000004122,2022-12-03,466.22006,0.23304403,1.0441443,33.32254,-1.7956135,-16.06875
0.0,82.75,83.04000000004112,2022-12-02,472.44016,0.23142098,1.039041,33.298496,-1.7949294,-17.435417
0.0,82.75,81.92000000004094,2022-12-01,485.72852,0.22998166,1.0220541,33.371983,-1.79447,-9.933332
0.0,82.75,81.28000000004084,2022-11-30,492.86465,0.22442238,1.0198456,33.41153,-1.79643,-3.1812499
0.0,82.75,80.9600000000408,2022-11-29,489.24567,0.21377045,1.0166426,33.41797,-1.7983482,-15.858334
0.0,82.75,80.56000000004076,2022-11-28,489.04678,0.20891881,1.0030526,33.411636,-1.7974668,-18.847918
0.0,82.8125,80.24000000004071,2022-11-27,490.4333,0.20339175,1.0494254,33.524982,-1.8005346,-17.583334
0.0,82.8125,79.84000000004062,2022-11-26,488.91873,0.19993015,1.0394112,33.530266,-1.7993683,-23.479164
0.0,82.8125,79.92000000004066,2022-11-25,492.0044,0.19656883,1.0352808,33.520176,-1.7961344,-22.02917
0.0,82.875,79.60000000004061,2022-11-24,488.3909,0.19531667,1.0226815,33.481483,-1.7952436,-24.07292
0.0,82.8125,79.28000000004056,2022-11-23,501.54883,0.19474904,1.0231689,33.518158,-1.7842922,-20.310415
0.0,82.8125,78.72000000004044,2022-11-22,505.20163,0.19114785,1.0147611,33.528202,-1.7811954,-24.960413
0.0,82.6875,78.08000000004034,2022-11-21,519.9157,0.19115563,1.0248877,33.615513,-1.788866,-21.952085
0.0,82.5625,77.92000000004032,2022-11-20,526.7103,0.18909037,1.0423977,33.613163,-1.794159,-23.716667
0.0,82.5625,78.32000000004041,2022-11-19,515.3385,0.18932402,1.043366,33.56627,-1.7951239,-25.754168
0.0,82.5625,78.80000000004043,2022-11-18,507.36633,0.18956393,1.0419419,33.491737,-1.7882807,-26.458334
0.0,82.5,78.96000000004051,2022-11-17,513.10077,0.18963282,1.030294,33.534805,-1.7842225,-24.995832
0.0,82.5625,79.0400000000405,2022-11-16,512.0445,0.18942668,1.0301446,33.43653,-1.7810606,-24.612501
0.0,82.625,79.12000000004048,2022-11-15,506.646,0.19022289,1.0299649,33.358425,-1.7806177,-23.6625
0.0,82.625,79.12000000004048,2022-11-14,513.12427,0.19064775,1.0222429,33.341015,-1.779138,-21.954168
0.0,82.6875,79.0400000000405,2022-11-13,517.08673,0.18974186,1.0872562,33.282516,-1.7925546,-23.03125
0.0,82.8125,78.88000000004047,2022-11-12,512.2868,0.19025984,1.0778184,33.24689,-1.7929257,-23.887499
0.0,82.8125,78.96000000004051,2022-11-11,515.3119,0.1895018,1.0789679,33.22973,-1.7919494,-22.497917
0.0,82.875,78.88000000004047,2022-11-10,518.2479,0.18938178,1.0758212,33.228516,-1.7936169,-25.660416
0.0,82.8125,78.56000000004042,2022-11-09,533.2115,0.18997066,1.0843518,33.237865,-1.7926443,-24.375002
0.0,82.8125,78.56000000004042,2022-11-08,534.853,0.18912001,1.0847718,33.228622,-1.7903827,-22.043749
0.0,82.8125,78.80000000004043,2022-11-07,532.7546,0.18772456,1.0797223,33.197002,-1.7909449,-20.622915
0.0,82.75,78.96000000004051,2022-11-06,540.4155,0.18505026,0.9709304,33.245567,-1.7880282,-18.74375
0.0,82.75,79.20000000004052,2022-11-05,540.56573,0.1848596,0.9706152,33.206123,-1.7858466,-16.468752
0.0,82.875,79.44000000004053,2022-11-04,529.1983,0.1878946,0.9721878,33.143894,-1.7881635,-15.697917
0.0,83.0625,79.6800000000406,2022-11-03,517.7757,0.19022678,0.9701182,33.1106,-1.7880728,-15.51875
0.0,83.1875,80.00000000004064,2022-11-02,517.41516,0.19070193,0.97096765,33.117226,-1.7885231,-18.602083
0.0,83.25,80.56000000004076,2022-11-01,517.7793,0.19130972,0.9738296,33.109108,-1.7880694,-17.689583
0.0,83.25,81.04000000004078,2022-10-31,521.867,0.190942,0.97765726,33.0874,-1.7871659,-15.585414
